countryiso3code,country_name,internet_usage_pct,internet_usage_pct_year,mobile_subscriptions_per_100_year,mobile_subscriptions_per_100,population_year,population,gdp_per_capita_year,gdp_per_capita,rural_population_pct_year,rural_population_pct,latest_year,earliest_year,year_spread,complete_core_data,usage_gap_pp,population_affected_est,gap_score,population_impact_score,rural_score,economic_vulnerability_score,priority_score,priority_band,data_confidence,priority_score_alt,rank_base,rank_alt,rank_change,diagnostic_segment,display_rank
AFG,Afghanistan,16.09499931,2024,2024,60.0990815591219,2025,43844111.0,2024,416.871146273728,2025,74.0598355300102,2025,2024,1,True,63.90500069,28018579.437074367,97.05882352941177,95.58823529411765,94.11764705882352,99.01960784313725,96.56862745098039,Higher,High,96.421568627451,1.0,1.0,0.0,Rural / access investigation,1
NER,Niger,15.55760002,2024,2024,60.5939862118112,2025,27917831.0,2025,775.353622143879,2025,81.6259302804531,2025,2024,1,True,64.44239998,17990920.318760436,97.54901960784314,92.15686274509804,98.52941176470588,95.58823529411765,95.68627450980392,Higher,High,95.14705882352942,2.0,3.0,-1.0,Rural / access investigation,2
BDI,Burundi,8.595999718,2024,2023,63.1631365759764,2025,14390003.0,2025,233.823013385395,2025,74.3129815318337,2025,2023,2,True,71.404000282,10275037.782699808,99.50980392156863,87.25490196078431,94.6078431372549,99.50980392156863,95.09803921568627,Higher,Medium,93.87254901960785,3.0,6.0,-3.0,Rural / access investigation,3
ETH,Ethiopia,21.94129944,2024,2024,65.0825091944922,2025,135472051.0,2025,932.729352775179,2025,75.8903047911054,2025,2024,1,True,58.05870056,78653312.43258049,92.15686274509804,99.01960784313727,95.58823529411765,93.13725490196079,94.92647058823529,Higher,High,95.61274509803923,4.0,2.0,2.0,Rural / access investigation,4
UGA,Uganda,8.949831061,2024,2024,83.165031466902,2025,51384894.0,2025,1206.30450825002,2025,68.0600442463383,2025,2024,1,True,71.050168939,36509053.99612608,99.01960784313727,97.05882352941177,88.23529411764706,88.23529411764706,94.65686274509804,Higher,High,94.4607843137255,5.0,4.0,1.0,Rural / access investigation,5
TCD,Chad,12.62689972,2024,2024,72.9289782617702,2025,21003705.0,2025,1022.33559390754,2025,72.4341213663135,2025,2024,1,True,67.37310028,14150847.232165374,98.52941176470588,90.68627450980392,92.15686274509804,92.6470588235294,94.04411764705883,Higher,High,93.25980392156863,6.0,9.0,-3.0,Rural / access investigation,6
YEM,"Yemen, Rep.",17.49099922,2019,2023,50.8937810578557,2025,41773878.0,2018,633.887202451545,2025,62.9663335392922,2025,2018,7,True,62.50900078,26112433.724856246,96.07843137254902,95.09803921568627,82.84313725490196,97.05882352941177,93.99509803921569,Higher,Low,93.89705882352942,7.0,5.0,2.0,Rural / access investigation,7
MWI,Malawi,18.96159935,2024,2024,69.260530662121,2025,22216120.0,2025,671.506847203876,2025,82.4050131613683,2025,2024,1,True,61.03840065,13560364.33448478,93.62745098039215,89.70588235294117,99.01960784313727,96.07843137254902,93.75,Higher,High,93.3578431372549,8.0,8.0,0.0,Rural / access investigation,8
MDG,Madagascar,18.67790031,2024,2023,75.4562966735535,2025,32740678.0,2025,599.265294255357,2025,67.0982929163102,2025,2023,2,True,61.32209969,20077271.2023419,94.6078431372549,93.13725490196079,86.76470588235294,98.03921568627452,93.67647058823529,Higher,Medium,93.52941176470588,9.0,7.0,2.0,Rural / access investigation,9
SSD,South Sudan,6.671000004,2019,2023,46.6152369503945,2025,12188788.0,2015,1080.14718624765,2025,78.3156400982599,2025,2015,10,True,73.328999996,8937916.352032447,100.0,85.29411764705883,97.05882352941177,91.66666666666667,93.48039215686276,Higher,Low,92.00980392156862,10.0,13.0,-3.0,Rural / access investigation,10
SDN,Sudan,18.60000038,2017,2022,70.2084038614961,2025,51662147.0,2025,1164.53991699219,2025,65.0650555033395,2025,2017,8,True,61.39999962,31720558.06168384,95.09803921568627,96.07843137254902,84.80392156862744,89.2156862745098,92.67156862745097,Higher,Low,92.76960784313727,11.0,11.0,0.0,Rural / access investigation,11
MOZ,Mozambique,20.52729988,2024,2024,49.5047696961223,2025,35631653.0,2025,626.914419215727,2025,62.7922055072811,2025,2024,1,True,59.47270012,21191106.136488985,92.64705882352942,94.11764705882352,82.35294117647058,97.54901960784314,92.52450980392156,Higher,High,92.67156862745098,12.0,12.0,0.0,Rural / access investigation,12
COD,"Congo, Dem. Rep.",19.67350006,2024,2024,58.532153345468,2025,112832473.0,2025,806.776000708534,2025,54.8864366957849,2025,2024,1,True,60.326499940000005,68067881.75664552,93.13725490196079,98.52941176470588,74.01960784313727,95.09803921568627,92.27941176470588,Higher,High,92.8186274509804,13.0,10.0,3.0,Rural / access investigation,13
